train_id,date,rolling_stock_fitness,signalling_fitness,telecom_fitness,job_card_status,branding_hours,branding_total,mileage,cleaning_slot,stabling_bay,shunting_time_minutes,induction_status,induction_score,punctuality,maintenance_cost,sla_penalty,is_serviceable,branding_sla_met,mileage_balance_deviation
1,2024-01-01,True,True,True,open,11.46,0.0,99266.24,0,0,55,standby,0.0,0.0,0.0,0,0,1,41171.07
2,2024-01-01,True,True,True,open,11.46,0.0,97878.7,1,6,30,standby,0.0,0.0,0.0,0,0,1,39783.53
3,2024-01-01,True,True,True,open,11.46,0.0,22288.27,5,0,55,standby,0.0,0.0,0.0,0,0,1,35806.9
4,2024-01-01,True,True,True,open,11.46,0.0,78407.02,4,0,55,maintenance,0.0,0.0,3554.86,0,0,1,20311.85
5,2024-01-01,True,True,True,open,11.46,0.0,93885.79,0,7,35,maintenance,0.0,0.0,2877.01,0,0,1,35790.62
6,2024-01-01,True,True,True,open,11.46,0.0,29193.69,0,0,55,maintenance,0.0,0.0,4914.46,0,0,1,28901.48
7,2024-01-01,True,True,True,open,11.46,0.0,27905.24,0,8,40,maintenance,0.0,0.0,3442.45,0,0,1,30189.93
8,2024-01-01,True,True,True,open,11.46,0.0,75380.73,0,0,55,maintenance,0.0,0.0,1808.51,0,0,1,17285.56
9,2024-01-01,True,True,True,open,11.46,0.0,19108.21,0,2,10,maintenance,0.0,0.0,1225.14,0,0,1,38986.96
10,2024-01-01,True,True,True,open,11.46,0.0,65950.67,2,0,55,maintenance,0.0,0.0,1217.25,0,0,1,7855.5
11,2024-01-01,True,True,True,open,11.46,0.0,45668.6,0,9,45,maintenance,0.0,0.0,1710.22,0,0,1,12426.57
12,2024-01-01,True,True,True,open,11.46,0.0,45307.8,0,0,55,maintenance,0.0,0.0,4854.41,0,0,1,12787.37
13,2024-01-01,True,True,True,open,11.46,0.0,96636.27,0,4,20,maintenance,0.0,0.0,4377.44,0,0,1,38541.1
14,2024-01-01,True,True,True,open,11.46,0.0,33282.71,0,0,55,maintenance,0.0,0.0,2664.39,0,0,1,24812.46
15,2024-01-01,True,True,True,open,11.46,0.0,72704.92,0,0,55,maintenance,0.0,0.0,2989.53,0,0,1,14609.75
16,2024-01-01,True,True,True,open,11.46,0.0,64930.95,0,0,55,maintenance,0.0,0.0,2055.18,0,0,1,6835.78
17,2024-01-01,True,True,True,open,11.46,0.0,81424.44,0,0,55,maintenance,0.0,0.0,1427.8,0,0,1,23329.27
18,2024-01-01,True,True,True,open,11.46,0.0,53506.23,0,3,15,maintenance,0.0,0.0,1723.32,0,0,1,4588.94
19,2024-01-01,True,True,True,open,11.46,0.0,40597.59,3,10,50,maintenance,0.0,0.0,4235.84,0,0,1,17497.58
20,2024-01-01,True,True,True,open,11.46,0.0,45781.07,0,0,55,maintenance,0.0,0.0,4921.48,0,0,1,12314.1
