train_id,date,rolling_stock_fitness,signalling_fitness,telecom_fitness,job_card_status,branding_hours,branding_total,mileage,cleaning_slot,stabling_bay,shunting_time_minutes,induction_status,induction_score,punctuality,maintenance_cost,sla_penalty,is_serviceable,branding_sla_met,mileage_balance_deviation
1,2024-01-01,True,True,True,open,7.240738994264559,0.0,30245.808186982973,,,55,standby,0.0,,0.0,0,False,False,18596.88919915444
2,2024-01-01,True,True,True,open,10.346069345894602,0.0,40216.49823737181,,,55,standby,0.0,,0.0,0,False,True,8626.199148765605
3,2024-01-01,True,True,True,open,10.386987483891076,0.0,93225.36658638081,,,55,standby,0.0,,0.0,0,False,True,44382.6692002434
4,2024-01-01,True,True,True,open,0.4926527657698778,0.0,37104.99217387274,,,55,maintenance,0.0,,4548.225206797586,0,False,False,11737.705212264671
5,2024-01-01,True,True,True,open,6.167098188982235,0.0,84597.89641022553,,,55,maintenance,0.0,,3480.4378928658516,0,False,False,35755.19902408811
6,2024-01-01,True,True,True,open,8.426283173665977,0.0,30110.57581923839,,,55,maintenance,0.0,,3331.3227288364037,0,False,True,18732.121566899023
7,2024-01-01,True,True,True,open,11.584307219468151,0.0,25922.259682448814,1.0,6.0,30,maintenance,0.0,,4423.26043208526,0,False,True,22920.4377036886
8,2024-01-01,True,True,True,open,10.239393263033529,0.0,42410.55193121893,4.0,4.0,20,maintenance,0.0,,3248.6314545257096,0,False,True,6432.1454549184855
9,2024-01-01,True,True,True,open,3.952819860664813,0.0,55305.89389282439,,,55,maintenance,0.0,,2632.4459417062344,0,False,False,6463.196506686974
10,2024-01-01,True,True,True,open,2.160664384472811,0.0,72301.28690415047,,,55,maintenance,0.0,,4520.6341818917335,0,False,False,23458.58951801306
11,2024-01-01,True,True,True,open,10.26319557942681,0.0,10691.653114029928,,,55,maintenance,0.0,,3430.0527265149162,0,False,True,38151.04427210749
12,2024-01-01,True,True,True,open,0.46970948281477565,0.0,95687.46939026317,5.0,8.0,40,maintenance,0.0,,4033.8065049201405,0,False,False,46844.772004125756
13,2024-01-01,True,True,True,open,9.308504115871228,0.0,53498.39764886211,2.0,3.0,15,maintenance,0.0,,1689.4604950883413,0,False,True,4655.700262724698
14,2024-01-01,True,True,True,open,11.267017986363333,0.0,52206.58950257784,,,55,maintenance,0.0,,3530.339926154911,0,False,True,3363.8921164404237
15,2024-01-01,True,True,True,open,3.5545980198231404,0.0,21833.077287172237,,,55,maintenance,0.0,,3357.1674306724917,0,False,False,27009.620098965177
16,2024-01-01,True,True,True,open,3.3292582966793596,0.0,12123.233726164972,,,55,maintenance,0.0,,2486.556946870299,0,False,False,36719.46365997244
17,2024-01-01,True,True,True,open,10.821880324966656,0.0,94945.06971324883,,9.0,45,maintenance,0.0,,3763.2194404771376,0,False,True,46102.372327111414
18,2024-01-01,True,True,True,open,7.0274005954718515,0.0,34727.7995835694,3.0,,55,maintenance,0.0,,2649.7039153318583,0,False,False,14114.897802568012
19,2024-01-01,True,True,True,open,5.383197260890572,0.0,35136.898096278266,,,55,maintenance,0.0,,3162.0399342785217,0,False,False,13705.799289859147
20,2024-01-01,True,True,True,open,9.490391534001244,0.0,40517.68127027486,,7.0,35,maintenance,0.0,,3334.830284288563,0,False,True,8325.016115862556
21,2024-01-01,True,True,True,open,11.327507755364337,0.0,23260.49934373238,,,55,maintenance,0.0,,2786.547220561739,0,False,True,25582.198042405034
22,2024-01-01,True,True,True,open,11.651654052181398,0.0,42392.53637517038,,1.0,5,maintenance,0.0,,2938.585641339928,0,False,True,6450.161010967036
23,2024-01-01,True,True,True,open,10.132303535039021,0.0,45329.25723511875,,2.0,10,maintenance,0.0,,3316.4217739257006,0,False,True,3513.4401510186653
24,2024-01-01,True,True,True,open,6.970496915706734,0.0,58498.56610527877,,10.0,50,maintenance,0.0,,1051.772935271284,0,False,False,9655.868719141356
25,2024-01-01,True,True,True,open,8.818965228812424,0.0,88777.57643697869,,5.0,25,maintenance,0.0,,1107.4632417944317,0,False,True,39934.87905084128
20,2024-01-02,True,True,True,closed,11.384850084693594,11.384850084693594,40688.1721675407,,,55,revenue,81.67498388413745,1.0,0.0,0,True,True,8360.657861192733
19,2024-01-02,True,True,True,closed,11.967844929936762,11.967844929936762,35360.409389909844,,,55,revenue,76.29420071014086,1.0,0.0,0,True,True,13688.42063882359
13,2024-01-02,True,True,True,closed,5.928226216216466,5.928226216216466,53696.75478962581,,9.0,45,revenue,74.98543081835764,1.0,0.0,1000,True,False,4647.924760892376
2,2024-01-02,True,True,True,closed,6.207973296087517,6.207973296087517,40610.31696366177,2.0,6.0,30,revenue,72.41366733167197,1.0,0.0,1000,True,False,8438.513065071667
22,2024-01-02,True,True,True,closed,5.55705231482138,5.55705231482138,42517.37946140854,,5.0,25,revenue,71.33510056313986,1.0,0.0,1000,True,False,6531.450567324893
6,2024-01-02,True,True,True,closed,8.080687731293162,8.080687731293162,30436.21077046576,,,55,revenue,71.26787843310098,1.0,0.0,0,True,True,18612.619258267674
23,2024-01-02,True,True,True,closed,4.104648919088305,4.104648919088305,45484.105529881745,,7.0,35,revenue,67.00980444442285,1.0,0.0,1000,True,False,3564.7244988516904
14,2024-01-02,True,True,True,closed,3.648171797813877,3.648171797813877,52638.73154229786,,,55,revenue,64.87696687262896,1.0,0.0,1000,True,False,3589.901513564422
21,2024-01-02,True,True,True,closed,10.060315555385282,10.060315555385282,23505.04334610183,3.0,,55,revenue,64.41780195759496,1.0,0.0,0,True,True,25543.786682631606
9,2024-01-02,True,True,True,closed,3.983546746419124,3.983546746419124,55424.109748429444,,4.0,20,revenue,63.45453722540865,1.0,0.0,1000,True,False,6375.279719696009
24,2024-01-02,True,True,True,closed,3.5049459919027552,3.5049459919027552,58636.27017949711,,3.0,15,revenue,57.868861240372425,1.0,0.0,1000,True,False,9587.440150763672
18,2024-01-02,True,True,True,closed,3.8943531525773203,3.8943531525773203,34897.18723017691,,1.0,5,revenue,55.356867960318596,1.0,0.0,1000,True,False,14151.642798556524
5,2024-01-02,True,True,True,closed,9.637762656708945,9.637762656708945,84719.06279599616,,,55,revenue,54.244800975911886,1.0,0.0,0,True,True,35670.23276726272
16,2024-01-02,True,True,True,closed,8.317163461700442,8.317163461700442,12594.112840184827,,10.0,50,revenue,53.28053634002756,1.0,0.0,0,True,True,36454.71718854861
11,2024-01-02,True,True,True,closed,8.003676723504157,8.003676723504157,10958.778502309866,,,55,revenue,51.848955727892516,1.0,0.0,0,True,True,38090.05152642357
1,2024-01-02,True,True,True,closed,3.5562069681359523,3.5562069681359523,30586.939614065916,5.0,,55,revenue,49.184145641525326,1.0,0.0,1000,True,False,18461.89041466752
7,2024-01-02,True,True,True,closed,4.004867441789885,4.004867441789885,26171.76078644073,,,55,revenue,47.10389950526082,1.0,0.0,1000,True,False,22877.069242292706
15,2024-01-02,True,True,True,closed,4.753630667303909,4.753630667303909,22206.8596478753,,2.0,10,revenue,46.758533237554374,1.0,0.0,1000,True,False,26841.970380858136
8,2024-01-02,True,True,True,closed,0.5843072988368752,0.5843072988368752,42894.13923600688,,8.0,40,revenue,46.48939103926589,1.0,0.0,1000,True,False,6154.6907927265565
3,2024-01-02,True,True,True,closed,7.2199238782553525,7.2199238782553525,93378.01155794504,,,55,revenue,41.71695019103336,1.0,0.0,1000,True,False,44329.1815292116
4,2024-01-02,True,True,True,closed,0.3003895730050008,0.3003895730050008,37104.99217387274,4.0,,55,standby,39.76424265276033,,0.0,0,True,False,11943.837854860692
17,2024-01-02,True,True,True,closed,6.646639898886653,6.646639898886653,94945.06971324883,,,55,standby,37.130827167321854,,0.0,0,True,False,45896.23968451539
10,2024-01-02,True,True,True,closed,1.759322458992418,1.759322458992418,72301.28690415047,1.0,,55,standby,35.33802277694903,,0.0,0,True,False,23252.45687541704
25,2024-01-02,True,True,True,closed,1.112171650283599,1.112171650283599,88777.57643697869,,,55,maintenance,15.625979200576715,,4833.538245016436,0,True,False,39728.74640824526
12,2024-01-02,True,True,True,closed,1.8864784196148179,1.8864784196148179,95687.46939026317,,,55,maintenance,12.587620093948331,,4610.981934063949,0,True,False,46638.639361529735
14,2024-01-03,True,True,True,closed,7.893215993113927,11.541387790927804,52775.550361885,,1.0,5,revenue,85.87617845200522,1.0,0.0,1000,True,False,3501.5097692514755
13,2024-01-03,True,True,True,closed,8.624720038177719,14.552946254394184,54146.16080173863,,10.0,50,revenue,85.35207523910763,1.0,0.0,0,True,True,4872.120209105109
2,2024-01-03,True,True,True,closed,6.959059057142901,13.167032353230418,41037.30768946223,,,55,revenue,76.35678222064283,1.0,0.0,1000,True,False,8236.732903171294
19,2024-01-03,True,True,True,closed,8.205312441847756,20.17315737178452,35564.595819938775,,,55,revenue,76.3115793611764,1.0,0.0,0,True,True,13709.444772694747
22,2024-01-03,True,True,True,closed,6.182317702155066,11.739370016976446,42759.536139450574,,5.0,25,revenue,74.38013794345044,1.0,0.0,1000,True,False,6514.504453182948
1,2024-01-03,True,True,True,closed,8.65238701725753,12.208593985393481,30693.4146848117,3.0,,55,revenue,71.53810958533248,1.0,0.0,0,True,True,18580.62590782182
6,2024-01-03,True,True,True,closed,9.449734065964881,17.530421797258043,30624.414670671817,,,55,revenue,71.38738074173231,1.0,0.0,0,True,True,18649.625921961706
20,2024-01-03,True,True,True,closed,5.3551878189866855,16.74003790368028,41069.46580582921,,,55,revenue,68.41528123374069,1.0,0.0,1000,True,False,8204.57478680431
24,2024-01-03,True,True,True,closed,5.522057704045851,9.027003695948606,58808.91313410674,,3.0,15,revenue,68.02284836946559,1.0,0.0,1000,True,False,9534.872541473218
10,2024-01-03,True,True,True,closed,7.209609013084128,8.968931472076546,72669.03562369774,,,55,revenue,62.795588190003606,1.0,0.0,1000,True,False,23394.995031064216
